Company,Industry,Ownership,Location,Ratings,Founded,Cities,Reviews,Employee_Count,Salary,Interviews,Jobs
Fresenius Medical Care,Healthcare ,Public,Gurgaon / Gurugram ,3,28,31,198, 201-500 ,823,12,0
DataTracks,Financial Services ,Public,Chennai,3,19,3,113, 201-500 ,1000,9,17
PNB Housing Finance,Financial Services ,Public,Bangalore / Bengaluru ,3,36,115,894, 1k-5k ,4100,37,0
Amrutanjan Health Care,Pharma ,Public,Chennai,3,131,36,194, 1k-5k ,572,13,0
Agilent Technologies,Pharma ,Forbes Global 2000,Gurgaon / Gurugram ,4,25,17,287, 1k-5k ,1700,17,0
Orchid Pharma,Pharma ,Public,Chennai,3,32,5,148, 1k-5k ,845,9,0
Saksoft,IT Services & Consulting ,Public,Chennai,3,25,14,289, 1k-5k ,2800,27,0
Avantha Technologies,IT Services & Consulting ,Public,Gurgaon / Gurugram ,3,20,7,129, 201-500 ,798,9,0
ICE Data Services,Financial Services ,Public,Hyderabad / Secunderabad ,3,24,3,100, 501-1k ,845,19,6
Gameskraft,Software Product ,Startup,Bangalore / Bengaluru ,3,7,1,100, 501-1k ,970,11,0
Indiafilings,Financial Services ,Public,Chennai,3,11,10,161, 501-1k ,824,15,0
Caplin Point Laboratories,Pharma ,Public,Chennai,4,34,5,155, 501-1k ,1200,11,0
Sami-Sabinsa Group,Pharma ,Public,Bangalore / Bengaluru ,3,27,8,146, 501-1k ,993,11,0
Mold-Tek Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,38,6,147, 1k-5k ,916,9,0
One Trust,Software Product ,Startup,Bangalore / Bengaluru ,2,8,3,107, 201-500 ,866,10,45
Toyota Financial Services,Financial Services ,Public,Bangalore / Bengaluru ,3,41,32,162, 201-500 ,796,9,0
Glenmark Pharmaceuticals,Pharma ,Public,Hyderabad / Secunderabad ,4,47,142,2500, 10k-50k ,11200,117,98
HP Global e-Business Operations,BPO ,Public,Bangalore / Bengaluru ,4,85,4,114, 1-10 ,685,7,0
Aster Cmi Hospital,Healthcare ,Public,Bangalore / Bengaluru ,4,37,4,121, 201-500 ,531,6,0
Alkem Laboratories,Pharma ,Public,Hyderabad / Secunderabad ,4,51,165,2600, 10k-50k ,9000,129,0
Intense Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,34,12,123, 501-1k ,1200,8,0
Bharti Infratel,Telecom ,Public,Gurgaon / Gurugram ,4,18,67,513, 1k-5k ,1600,4,0
Suven Life Sciences,Pharma ,Public,Hyderabad / Secunderabad ,3,35,6,126, 51-200 ,672,3,0
Anunta Technology Management Services,IT Services & Consulting ,Startup,Chennai,3,12,14,240, 501-1k ,1700,22,0
NSE.IT,IT Services & Consulting ,Public,Chennai,3,25,136,1000, 1k-5k ,5800,104,0
Lupin,Pharma ,Public,Bangalore / Bengaluru ,4,56,171,5500, 1k-5k ,22300,288,193
Vasudha Pharma Chem,Pharma ,Public,Hyderabad / Secunderabad ,3,29,7,426, 1k-5k ,2100,24,0
TELUS International Philippines,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,19,16,955, 1k-5k ,7400,75,43
Aptonline,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,22,5,117, 201-500 ,939,4,0
Nineleaps Technology Solutions,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,10,2,99, 201-500 ,1100,23,0
NortonLifeLock's,IT Services & Consulting ,Forbes Global 2000,Chennai,4,42,6,203, 501-1k ,2100,16,19
Wolters Kluwer,IT Services & Consulting ,Forbes Global 2000,Chennai,3,188,13,384, 1k-5k ,3800,65,0
Virtusa Software Services,IT Services & Consulting ,Public,Chennai,3,28,7,110, 5k-10k ,1600,25,0
Happay,Software Product ,Startup,Bangalore / Bengaluru ,3,12,4,88, 201-500 ,718,3,0
F5 Networks,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,28,4,88, 501-1k ,1200,17,40
STANPLUS TECHNOLOGIES,Healthcare ,Startup,Hyderabad / Secunderabad ,3,8,19,137, 11-50 ,493,14,0
Xoxoday,Software Product ,Startup,Bangalore / Bengaluru ,3,12,7,97, 51-200 ,677,7,0
Solara Active Pharma Sciences,Pharma ,Public,Chennai,3,6,15,409, 1k-5k ,2700,34,0
American Tower Corporation,Telecom ,Forbes Global 2000,Gurgaon / Gurugram ,3,29,38,195, 501-1k ,1100,5,0
Fisdom,Financial Services ,Startup,Bangalore / Bengaluru ,3,9,28,166, 501-1k ,719,14,0
Thales,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,3,24,16,308, 1k-5k ,2900,33,0
Telstra,Telecom ,Forbes Global 2000,Bangalore / Bengaluru ,4,32,8,156, 1k-5k ,1800,31,0
Black Box Corporation,IT Services & Consulting ,Fortune India 500,Bangalore / Bengaluru ,3,48,16,140, 1k-5k ,1100,15,45
Alcatel-Lucent,Telecom ,Public,Bangalore / Bengaluru ,4,32,22,142, 201-500 ,624,6,0
Telenor,Telecom ,Forbes Global 2000,Hyderabad / Secunderabad ,4,15,113,527, 501-1k ,695,6,0
Novopay Solutions,Software Product ,Startup,Bangalore / Bengaluru ,3,10,19,109, 201-500 ,760,11,37
Cardinal Health,Healthcare ,Forbes Global 2000,Bangalore / Bengaluru ,3,30,8,95, 1k-5k ,874,11,0
Zydus Lifesciences,Pharma ,Public,Hyderabad / Secunderabad ,4,72,156,5400, 10k-50k ,18200,263,0
Quotient Technology,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,26,2,86, 201-500 ,702,10,0
Motorola Solutions,Telecom ,Forbes Global 2000,Bangalore / Bengaluru ,4,25,7,95, 1k-5k ,1100,17,0
C-Square Info Solutions,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,22,11,109, 201-500 ,617,5,0
Blackbuck Insights,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,8,7,118, 201-500 ,468,13,0
Zopsmart Technology,Software Product ,Startup,Bangalore / Bengaluru ,3,10,7,94, 201-500 ,787,27,20
Allergan,Healthcare ,Forbes Global 2000,Bangalore / Bengaluru ,3,11,23,140, 1k-5k ,629,5,0
yellow.ai,Software Product ,Startup,Bangalore / Bengaluru ,3,8,3,107, 501-1k ,1200,11,0
Niyo Solutions,Financial Services ,Startup,Bangalore / Bengaluru ,3,9,12,98, 201-500 ,915,4,0
Shipsy,Software Product ,Startup,Gurgaon / Gurugram ,3,9,4,90, 201-500 ,541,6,0
Axio,Financial Services ,Startup,Bangalore / Bengaluru ,3,11,17,162, 501-1k ,928,6,0
Relyon Softech,Software Product ,Public,Bangalore / Bengaluru ,4,23,15,132, 501-1k ,909,9,0
TTEC India,BPO ,Public,Hyderabad / Secunderabad ,3,40,23,1100, 1k-5k ,4200,111,0
CoinSwitch,Financial Services ,Indian Unicorn,Bangalore / Bengaluru ,3,7,2,81, 501-1k ,628,9,14
ekincare,Healthcare ,Startup,Hyderabad / Secunderabad ,2,10,5,83, 201-500 ,521,8,0
ICRA,Financial Services ,Public,Gurgaon / Gurugram ,3,33,14,229, 201-500 ,1600,16,0
Tanla Platforms,Software Product ,Public,Hyderabad / Secunderabad ,3,25,5,83, 501-1k ,943,8,0
Elektrobit India,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,36,1,81, 501-1k ,816,11,0
DCM Infotech,IT Services & Consulting ,Public,Gurgaon / Gurugram ,3,31,11,99, 51-200 ,710,3,32
Factspan,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,12,2,75, 201-500 ,603,8,0
PTC,Software Product ,Public,Gurgaon / Gurugram ,4,39,39,439, 1k-5k ,3600,50,0
BlueBinaries Engineering and Solutions,Software Product ,Startup,Chennai,3,7,5,94, 501-1k ,854,15,0
Zimyo,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,4,6,3,69, 51-200 ,311,1,0
NTT Global Networks,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,5,25,250, 501-1k ,2100,22,11
Unicommerce Esolutions,Software Product ,Startup,Gurgaon / Gurugram ,3,12,2,80, 201-500 ,714,15,0
Dish Network,Telecom ,Public,Bangalore / Bengaluru ,3,44,5,68, 1k-5k ,646,16,0
Karvy Innotech,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,12,39,301, 501-1k ,2200,21,0
Chqbook.com,Financial Services ,Startup,Gurgaon / Gurugram ,3,7,11,91, 51-200 ,462,6,0
Twin Health,Healthcare ,Startup,Chennai,3,6,8,88, 201-500 ,457,6,25
Zebra Technologies,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,4,55,8,113, 51-200 ,1400,13,0
Pagarbook,Software Product ,Startup,Bangalore / Bengaluru ,4,5,23,128, 51-200 ,553,9,11
Signzy Technologies,Software Product ,Startup,Bangalore / Bengaluru ,2,9,7,88, 51-200 ,610,16,0
Genesys International Corporation,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,29,14,469, 1k-5k ,2700,19,0
Nxtgen Datacenter Cloud Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,12,5,88, 201-500 ,675,7,0
ITILITE,Software Product ,Startup,Bangalore / Bengaluru ,3,7,6,78, 51-200 ,681,9,0
Oxyzo Financial Services,Financial Services ,Indian Unicorn,Gurgaon / Gurugram ,3,8,11,80, 201-500 ,580,3,10
GSS Infotech,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,25,7,74, 51-200 ,714,1,0
Harness,Software Product ,Startup,Bangalore / Bengaluru ,4,8,6,87, 201-500 ,207,3,0
Cadence Design Systems,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,36,14,238, 1k-5k ,2200,50,80
NASDAQ,Financial Services ,Forbes Global 2000,Bangalore / Bengaluru ,3,11,6,71, 201-500 ,821,14,0
Sigachi Industries,Pharma ,Public,Hyderabad / Secunderabad ,3,35,11,143, 201-500 ,844,10,0
VAYA Finserv,Financial Services ,Startup,Hyderabad / Secunderabad ,4,10,43,173, 1k-5k ,562,10,0
Columbus Global,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,35,1,58, 201-500 ,543,3,0
Cresce Technology Private Limited,Software Product ,Startup,Gurgaon / Gurugram ,3,3,2,66, 51-200 ,110,5,23
Optimus Global Services,BPO ,Public,Hyderabad / Secunderabad ,3,22,5,67, 51-200 ,763,2,0
SMS Pharmaceuticals,Pharma ,Public,Hyderabad / Secunderabad ,3,34,4,141, 501-1k ,757,10,0
AdvantageClub.ai,Software Product ,Startup,Gurgaon / Gurugram ,4,8,2,54, 201-500 ,264,10,0
AdvantageClub.ai,Software Product ,Startup,Gurgaon / Gurugram ,4,8,2,54, 201-500 ,264,10,0
FloBiz,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,5,24,111, 51-200 ,568,18,0
Shriram Housing Finance,Financial Services ,Public,Hyderabad / Secunderabad ,4,14,121,467, 501-1k ,1900,35,0
Intas Pharmaceuticals,Pharma ,Fortune India 500,Bangalore / Bengaluru ,4,47,116,3000, 10k-50k ,15200,171,39
Flixstock,Software Product ,Startup,Gurgaon / Gurugram ,3,9,1,96, 51-200 ,319,2,0
Arth Design Build,Software Product ,Startup,Hyderabad / Secunderabad ,4,10,2,61, 51-200 ,423,2,0
CDW,IT Services & Consulting ,Forbes Global 2000,Chennai,4,40,3,57, 501-1k ,767,17,0
AlgoShack,Software Product ,Startup,Bangalore / Bengaluru ,4,6,1,57, 51-200 ,267,7,0
Kuliza Technologies,Software Product ,Startup,Bangalore / Bengaluru ,2,6,3,66, 201-500 ,697,11,0
Affle,IT Services & Consulting ,Public,Gurgaon / Gurugram ,3,30,3,61, 201-500 ,685,2,0
Apollo Clinic,Healthcare ,Public,Bangalore / Bengaluru ,3,22,34,223, 201-500 ,932,10,0
Balance Hero India,Financial Services ,Startup,Gurgaon / Gurugram ,3,10,5,61, 51-200 ,496,6,0
Adrenalin Esystems,Software Product ,Public,Chennai,3,22,5,57, 201-500 ,808,1,0
Palo Alto Networks,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,19,8,75, 1k-5k ,972,15,0
Zaigo Infotech,IT Services & Consulting ,Startup,Chennai,4,9,1,52, 51-200 ,147,2,0
Tata Insights and Quants,IT Services & Consulting ,Public,Bangalore / Bengaluru ,2,9,4,63, 51-200 ,340,7,0
Goldstone Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,30,4,59, 51-200 ,501,2,0
Torrent Pharmaceuticals,Pharma ,Public,Hyderabad / Secunderabad ,3,53,101,2200, 10k-50k ,10100,103,0
Bristol-Myers Squibb,Pharma ,Forbes Global 2000,Bangalore / Bengaluru ,4,137,14,86, 201-500 ,586,8,0
Ricoh,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,88,42,243, 1-10 ,942,6,0
Tata Insights and Quants,IT Services & Consulting ,Public,Bangalore / Bengaluru ,2,9,4,63, 51-200 ,340,7,0
Mojocare,Healthcare ,Startup,Bangalore / Bengaluru ,3,4,2,67, 11-50 ,254,1,0
Smarter BIZ Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,10,13,118, 51-200 ,347,14,0
TechChefs Software,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,9,3,59, 51-200 ,596,4,0
USV,Pharma ,Fortune India 500,Bangalore / Bengaluru ,4,63,92,1300, 1k-5k ,5100,66,0
Wockhardt,Pharma ,Public,Hyderabad / Secunderabad ,3,25,77,1300, 5k-10k ,4500,43,0
Nuance Communications,Software Product ,Public,Bangalore / Bengaluru ,4,32,13,212, 1k-5k ,1800,21,0
Nippon Life India Asset Management,Financial Services ,Public,Bangalore / Bengaluru ,4,29,157,567, 1k-5k ,1400,17,0
Leena AI,Software Product ,Startup,Gurgaon / Gurugram ,3,9,5,98, 201-500 ,448,11,18
MoneyTap,Financial Services ,Startup,Bangalore / Bengaluru ,3,9,10,61, 51-200 ,382,1,0
Emcure Pharmaceuticals,Pharma ,Fortune India 500,Hyderabad / Secunderabad ,3,43,97,1700, 5k-10k ,8000,91,0
Applicate,Financial Services ,Startup,Gurgaon / Gurugram ,2,10,3,50, 11-50 ,282,3,0
Equifax,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,14,10,134, 201-500 ,1300,19,51
RUBRIK INDIA,Software Product ,Startup,Bangalore / Bengaluru ,3,10,2,54, 501-1k ,725,8,0
EMIS Health,Software Product ,Public,Chennai,4,37,1,46, 201-500 ,776,5,0
KredX,Financial Services ,Startup,Bangalore / Bengaluru ,3,9,3,58, 51-200 ,490,6,26
You Broadband,Telecom ,Public,Hyderabad / Secunderabad ,3,23,28,272, 1k-5k ,1100,9,0
Experian,IT Services & Consulting ,Forbes Global 2000,Hyderabad / Secunderabad ,3,18,4,84, 201-500 ,1200,12,168
Bhagwan Mahaveer Jain Hospital,Healthcare ,Public,Bangalore / Bengaluru ,3,49,4,67, 51-200 ,306,1,0
TerraCIS Technologies,IT Services & Consulting ,Public,Gurgaon / Gurugram ,3,31,34,151, 1k-5k ,622,8,0
Avataar.Me,Software Product ,Startup,Bangalore / Bengaluru ,3,10,6,53, 201-500 ,175,4,7
Megasoft,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,30,7,55, 51-200 ,450,2,0
CureLink,Healthcare ,Startup,Gurgaon / Gurugram ,3,3,5,48, 51-200 ,86,2,0
FYERS Securities,Financial Services ,Startup,Bangalore / Bengaluru ,4,9,2,51, 201-500 ,464,4,0
IDBI Intech Limited,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,24,24,396, 1k-5k ,2600,33,0
Healthcare At Home,Healthcare ,Startup,Bangalore / Bengaluru ,3,12,27,277, 1k-5k ,1200,19,16
CME Group,Financial Services ,Forbes Global 2000,Bangalore / Bengaluru ,4,176,3,52, 201-500 ,643,9,0
MongoDB,Software Product ,Public,Gurgaon / Gurugram ,4,17,4,56, 501-1k ,632,14,0
Fortis Malar Hospital,Healthcare ,Public,Chennai,3,28,4,54, 201-500 ,265,2,0
JM Financial,Financial Services ,Public,Bangalore / Bengaluru ,3,40,59,477, 1k-5k ,3500,31,0
Religare,Financial Services ,Public,Chennai,3,40,91,546, 1k-5k ,2400,20,0
Sigma Infosolutions,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,20,6,70, 201-500 ,657,3,0
Accel Limited,IT Services & Consulting ,Public,Chennai,3,33,28,97, 1k-5k ,684,7,0
AGC Networks,IT Services & Consulting ,Public,Gurgaon / Gurugram ,3,38,13,109, 501-1k ,796,4,0
Bharat IT Services,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,28,43,244, 501-1k ,924,11,0
Barclays Global Service Centre,IT Services & Consulting ,Fortune India 500,Chennai,3,17,6,108, 201-500 ,6700,68,0
Hevo Data,Software Product ,Startup,Bangalore / Bengaluru ,3,7,2,46, 201-500 ,412,15,29
SugarFit,Healthcare ,Startup,Bangalore / Bengaluru ,3,3,1,67, 201-500 ,172,11,0
Acer India,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,48,31,136, 51-200 ,723,5,0
Sarvotham Care,Pharma ,Public,Hyderabad / Secunderabad ,4,28,7,69, 51-200 ,359,6,0
ITSource Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,26,28,334, 201-500 ,2300,26,0
Acer India,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,48,31,136, 51-200 ,723,5,0
Ipca Laboratories,Pharma ,Public,Hyderabad / Secunderabad ,4,75,131,2500, 10k-50k ,11000,139,0
Thyrocare Technologies,Healthcare ,Public,Hyderabad / Secunderabad ,3,28,62,866, 1k-5k ,4100,57,0
Deutsche Telekom,Telecom ,Public,Gurgaon / Gurugram ,3,11,6,98, 10k-50k ,1200,12,0
Emerson Electric Co.,IT Services & Consulting ,Public,Chennai,4,134,24,390, 5k-10k ,3100,43,170
HALODOC,Software Product ,Startup,Bangalore / Bengaluru ,2,8,2,42, 51-200 ,341,9,0
sysotel.ai,Software Product ,Startup,Bangalore / Bengaluru ,2,3,1,48, 11-50 ,17,0,0
Dbs Mintek,Financial Services ,Forbes Global 2000,Hyderabad / Secunderabad ,3,16,16,179, 1k-5k ,1300,13,0
Rolta India,IT Services & Consulting ,Public,Gurgaon / Gurugram ,2,35,11,213, 501-1k ,1200,2,0
Srei Equipment Finance,Financial Services ,Public,Hyderabad / Secunderabad ,4,35,75,330, 1k-5k ,1200,9,0
Bafna Pharmaceuticals,Pharma ,Public,Chennai,4,43,2,54, 51-200 ,403,5,0
MapleLabs,Software Product ,Startup,Bangalore / Bengaluru ,4,10,2,42, 201-500 ,424,12,4
Tricog Health Services,Financial Services ,Startup,Bangalore / Bengaluru ,3,9,7,50, 11-50 ,385,4,0
CareEdge Ratings,Financial Services ,Public,Chennai,2,31,18,247, 501-1k ,1700,15,0
Atlassian,Software Product ,Forbes Global 2000,Bangalore / Bengaluru ,3,22,6,99, 501-1k ,2400,55,0
Verisk Analytics,IT Services & Consulting ,Forbes Global 2000,Hyderabad / Secunderabad ,3,53,3,40, 501-1k ,469,8,44
Dhwani Rural Information Systems,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,4,9,1,46, 51-200 ,338,8,0
Cadila Pharmaceuticals,Pharma ,Public,Bangalore / Bengaluru ,3,73,116,1700, 5k-10k ,6900,95,0
XTGlobal,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,26,2,61, 501-1k ,705,5,8
AntWorks,Software Product ,Startup,Chennai,3,9,5,47, 51-200 ,687,1,0
Draup,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,7,6,79, 501-1k ,737,11,10
Orient Technologies,IT Services & Consulting ,Forbes Global 2000,Chennai,3,32,43,456, 1k-5k ,2800,18,0
Eris Lifesciences,Pharma ,Public,Bangalore / Bengaluru ,3,17,76,584, 1k-5k ,2100,29,0
Vasista Enterprise Solutions,Financial Services ,Startup,Hyderabad / Secunderabad ,3,11,1,42, 51-200 ,235,2,0
Unique Biotech,Pharma ,Public,Hyderabad / Secunderabad ,3,23,2,46, 51-200 ,356,2,0
Prathigna.com HR Solutions,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,1,9,4,50, 51-200 ,207,1,9
Morepen Laboratories,Pharma ,Public,Gurgaon / Gurugram ,4,40,36,334, 1k-5k ,1500,15,0
Hartron Communication,Telecom ,Public,Gurgaon / Gurugram ,3,26,4,42, 201-500 ,251,2,0
Deskera,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,16,4,62, 51-200 ,298,5,0
Healofy,Healthcare ,Startup,Bangalore / Bengaluru ,2,8,2,46, 201-500 ,311,2,0
National Stock Exchange of India,Financial Services ,Fortune India 500,Chennai,3,32,31,348, 1k-5k ,3400,34,0
Stock Holding Corporation of India,Financial Services ,Public,Hyderabad / Secunderabad ,3,38,91,420, 201-500 ,1700,23,0
UTI Technology Services,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,31,18,106, 1k-5k ,491,3,0
Avanse Financial Services,Financial Services ,Startup,Hyderabad / Secunderabad ,4,12,23,181, 501-1k ,1200,21,0
Innovaccer,Software Product ,Indian Unicorn,Bangalore / Bengaluru ,3,10,5,289, 1k-5k ,2600,49,0
Karnataka Antibiotics & Pharmaceuticals,Pharma ,Central,Bangalore / Bengaluru ,3,40,8,44, 501-1k ,252,3,0
TestVagrant,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,10,2,39, 51-200 ,284,10,0
Allied Digital Services,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,29,47,473, 1k-5k ,2600,35,0
QuickRide,Software Product ,Startup,Bangalore / Bengaluru ,2,10,8,48, 11-50 ,342,5,0
Macleods Pharmaceuticals,Pharma ,Public,Hyderabad / Secunderabad ,3,38,99,2900, 10k-50k ,14000,165,0
Zylog Systems,IT Services & Consulting ,Public,Chennai,4,29,3,36, 501-1k ,149,0,0
LOCUS,Software Product ,Startup,Bangalore / Bengaluru ,3,10,4,39, 51-200 ,464,3,0
Goodera,Software Product ,Startup,Bangalore / Bengaluru ,3,10,5,49, 51-200 ,490,6,0
Cyber Vision Infotech,Software Product ,Startup,Gurgaon / Gurugram ,4,9,1,40, 11-50 ,91,0,0
Coffeebeans Consulting,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,7,1,35, 51-200 ,266,9,8
Fourkites,Software Product ,Startup,Chennai,3,10,3,49, 201-500 ,492,12,17
Ajanta Pharma,Pharma ,Public,Hyderabad / Secunderabad ,4,51,97,1800, 5k-10k ,8200,96,0
Softsol,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,31,2,37, 51-200 ,409,2,0
Viasat,Telecom ,Public,Chennai,3,38,1,31, 201-500 ,318,9,0
Ceridian,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,12,3,47, 201-500 ,480,4,0
Lavelle Networks,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,9,4,36, 51-200 ,195,1,0
Lavelle Networks,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,9,4,36, 51-200 ,195,1,0
Springworks,Software Product ,Startup,Bangalore / Bengaluru ,4,10,5,137, 201-500 ,216,18,0
Procol,Software Product ,Startup,Gurgaon / Gurugram ,3,6,2,33, 11-50 ,158,3,16
Willis Towers Watson,Financial Services ,Forbes Global 2000,Gurgaon / Gurugram ,3,8,15,710, 1k-5k ,6300,70,0
ANSYS,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,3,54,5,100, 501-1k ,889,18,0
Spoors Technology Solutions India,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,4,9,2,35, 51-200 ,228,4,0
QUICK HEAL TECHNOLOGIES,Software Product ,Public,Bangalore / Bengaluru ,3,29,43,379, 1k-5k ,2600,22,0
Aditya Birla Housing Finance,Financial Services ,Public,Hyderabad / Secunderabad ,3,15,64,238, 1k-5k ,384,10,0
Nxtra Data,IT Services & Consulting ,Public,Chennai,4,11,10,91, 51-200 ,551,8,0
ART Housing Finance (India),Financial Services ,Public,Gurgaon / Gurugram ,3,11,29,111, 51-200 ,632,4,0
Northern Arc Capital,Financial Services ,Public,Chennai,3,35,19,63, 201-500 ,550,9,0
SightSpectrum Technology Solutions,IT Services & Consulting ,Startup,Chennai,3,7,3,44, 501-1k ,135,4,0
Vivriti Capital,Financial Services ,Startup,Chennai,4,7,2,37, 201-500 ,391,8,0
Unique Identification Authority of India,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,15,70,212, 501-1k ,814,8,0
Palred Online Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,25,2,44, 51-200 ,310,0,0
FDC,Pharma ,Public,Hyderabad / Secunderabad ,4,84,100,955, 5k-10k ,3300,44,0
YourDOST,Financial Services ,Startup,Bangalore / Bengaluru ,3,10,5,40, 11-50 ,216,8,24
Narayana Superspeciality Hospital,Healthcare ,Public,Gurgaon / Gurugram ,4,24,10,98, 10k-50k ,413,5,0
Get my Parking,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,10,2,35, 51-200 ,344,6,0
CRUD Operations Private Limited,Software Product ,Startup,Chennai,4,9,1,33, 11-50 ,194,0,0
Trigyn Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,38,12,176, 501-1k ,1500,17,0
Religare Finvest,Financial Services ,Public,Bangalore / Bengaluru ,4,18,34,210, 1k-5k ,598,3,0
Sundaram Medical Foundation,Healthcare ,Public,Chennai,4,30,2,37, 1k-5k ,143,0,0
Workhall,Software Product ,Startup,Chennai,4,3,1,30, 51-200 ,53,1,0
WeNet Global,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,5,2,3,64, 51-200 ,7,1,0
Wilco Source,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,4,10,2,31, 11-50 ,295,3,20
Vijayasri Organics,Pharma ,Public,Hyderabad / Secunderabad ,4,38,2,71, 201-500 ,397,4,0
Saven Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,9,2,30, 51-200 ,382,3,0
Appaswamy Real Estates,Financial Services ,Public,Chennai,4,65,3,41, 51-200 ,254,1,0
Reliance Capital,Financial Services ,Public,Bangalore / Bengaluru ,3,19,80,369, 1k-5k ,2200,18,0
Wintac,Pharma ,Public,Bangalore / Bengaluru ,3,37,3,38, 201-500 ,285,0,0
IDOS INDIA,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,2,10,3,40, 11-50 ,84,1,0
VuNet Systems,Software Product ,Startup,Bangalore / Bengaluru ,3,7,5,35, 51-200 ,267,5,35
SMARTe,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,3,10,7,104, 201-500 ,894,7,0
R Systems International,IT Services & Consulting ,Public,Chennai,3,31,15,889, 1k-5k ,7100,94,22
Pi DATACENTERS,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,3,10,6,67, 51-200 ,416,1,0
Advanced Structures India,Financial Services ,Startup,Bangalore / Bengaluru ,3,10,1,32, 11-50 ,257,4,0
GE Money,Financial Services ,Public,Gurgaon / Gurugram ,4,92,15,47, 1k-5k ,224,1,0
West Unified Communications Services,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,33,2,40, 201-500 ,394,3,0
TTEC Digital Analytics India,BPO ,Public,Hyderabad / Secunderabad ,4,42,2,39, 1k-5k ,209,8,0
CoolBoots Media,Software Product ,Startup,Gurgaon / Gurugram ,3,8,3,33, 51-200 ,328,3,23
5C Network,Software Product ,Startup,Bangalore / Bengaluru ,3,10,1,30, 51-200 ,173,1,18
LimeTray,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,2,11,3,31, 51-200 ,285,0,0
PCS Technology,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,43,43,156, 1k-5k ,418,3,0
Geometric,Software Product ,Public,Bangalore / Bengaluru ,3,40,4,54, 5k-10k ,286,8,0
